Loading Qwen/Qwen3-8B on cuda:0...
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights:   1%|          | 2/399 [00:00<00:30, 12.94it/s]Loading weights:  10%|▉         | 38/399 [00:00<00:02, 174.20it/s]Loading weights:  18%|█▊        | 71/399 [00:00<00:01, 235.09it/s]Loading weights:  32%|███▏      | 126/399 [00:00<00:00, 345.09it/s]Loading weights:  41%|████      | 163/399 [00:00<00:00, 341.02it/s]Loading weights:  52%|█████▏    | 206/399 [00:00<00:00, 332.44it/s]Loading weights:  65%|██████▍   | 258/399 [00:00<00:00, 358.25it/s]Loading weights:  79%|███████▉  | 316/399 [00:00<00:00, 379.01it/s]Loading weights:  94%|█████████▎| 374/399 [00:01<00:00, 431.97it/s]Loading weights: 100%|██████████| 399/399 [00:01<00:00, 356.85it/s]
Loaded in 3s, layers: 36
EARLY FORK: layers 12-35 (24 expert layers)
Trainable: 6,488,064 (6.5M)
Loading C4...
Training 15000 steps with learntropy-LR, fork at layer 12...
  Route: E0=0.496 E1=0.504 | LT: E0=2.16 E1=1.41 | LR: E0=1.3e-04 E1=2.2e-05
Step 11400/15000 | loss=2.1719 | tau=0.100
  Route: E0=0.477 E1=0.523 | LT: E0=2.24 E1=1.35 | LR: E0=1.6e-04 E1=1.9e-05
Step 11600/15000 | loss=2.8438 | tau=0.100
  Route: E0=0.469 E1=0.531 | LT: E0=2.37 E1=1.69 | LR: E0=1.1e-04 E1=2.7e-05
Step 11800/15000 | loss=2.1875 | tau=0.100
  Route: E0=0.508 E1=0.490 | LT: E0=2.28 E1=1.51 | LR: E0=1.3e-04 E1=2.3e-05
Step 12000/15000 | loss=2.7500 | tau=0.100
  Route: E0=0.488 E1=0.512 | LT: E0=2.29 E1=1.68 | LR: E0=1.1e-04 E1=2.9e-05
  Eval PPL=16.62
Step 12200/15000 | loss=2.9531 | tau=0.100
  Route: E0=0.484 E1=0.516 | LT: E0=2.37 E1=1.49 | LR: E0=1.4e-04 E1=2.1e-05
Step 12400/15000 | loss=4.5625 | tau=0.100
  Route: E0=0.475 E1=0.523 | LT: E0=2.31 E1=1.42 | LR: E0=1.5e-04 E1=2.0e-05
Step 12600/15000 | loss=3.1719 | tau=0.100
  Route: E0=0.504 E1=0.496 | LT: E0=2.27 E1=1.53 | LR: E0=1.2e-04 E1=2.4e-05
Step 12800/15000 | loss=2.4688 | tau=0.100
  Route: E0=0.492 E1=0.508 | LT: E0=2.10 E1=1.35 | LR: E0=1.4e-04 E1=2.2e-05
Step 13000/15000 | loss=2.6562 | tau=0.100
  Route: E0=0.490 E1=0.508 | LT: E0=2.17 E1=1.28 | LR: E0=1.6e-04 E1=1.8e-05
Step 13200/15000 | loss=2.6562 | tau=0.100
  Route: E0=0.512 E1=0.486 | LT: E0=2.25 E1=1.30 | LR: E0=1.7e-04 E1=1.8e-05
Step 13400/15000 | loss=3.0938 | tau=0.100
  Route: E0=0.516 E1=0.484 | LT: E0=2.24 E1=1.47 | LR: E0=1.3e-04 E1=2.3e-05
Step 13600/15000 | loss=1.8047 | tau=0.100
  Route: E0=0.504 E1=0.496 | LT: E0=2.29 E1=1.83 | LR: E0=8.8e-05 E1=3.4e-05
Step 13800/15000 | loss=2.5938 | tau=0.100
  Route: E0=0.475 E1=0.527 | LT: E0=2.19 E1=1.43 | LR: E0=1.3e-04 E1=2.3e-05
Step 14000/15000 | loss=3.5000 | tau=0.100
  Route: E0=0.516 E1=0.484 | LT: E0=2.37 E1=1.62 | LR: E0=1.2e-04 E1=2.4e-05
Step 14200/15000 | loss=2.1562 | tau=0.100
  Route: E0=0.484 E1=0.516 | LT: E0=2.16 E1=1.27 | LR: E0=1.7e-04 E1=1.8e-05
Step 14400/15000 | loss=1.7969 | tau=0.100
  Route: E0=0.490 E1=0.508 | LT: E0=2.09 E1=1.28 | LR: E0=1.5e-04 E1=2.0e-05
Step 14600/15000 | loss=2.6562 | tau=0.100
  Route: E0=0.457 E1=0.543 | LT: E0=2.28 E1=1.70 | LR: E0=1.0e-04 E1=2.9e-05
Step 14800/15000 | loss=2.3594 | tau=0.100
  Route: E0=0.504 E1=0.496 | LT: E0=2.30 E1=1.65 | LR: E0=1.1e-04 E1=2.7e-05

Saved to /root/t6b-mogae/checkpoints/qwen8b_early_fork/final.pt

=== M_ij ABLATION (fork at layer 12) ===
  medical: 40 samples
  code: 40 samples
  legal: 40 samples
  news: 40 samples
  conversational: 40 samples

Baseline: {'medical': '13.6', 'code': '18.7', 'legal': '16.0', 'news': '13.7', 'conversational': '21.7'}
No E0: medical=+7676.20 code=+14460.53 legal=+8869.61 news=+10415.25 conversational=+15955.30 | CV=0.2792
No E1: medical=+5.57 code=+6.90 legal=+6.02 news=+6.78 conversational=+7.68 | CV=0.1112

Overall M_ij CV: 1.0740

=== COMPARISON: Early fork (L12) vs Late fork (L24) ===
Fork at L12: M_ij CV = 1.0740
Fork at L24: M_ij CV = 0.6792 (reference)
Fork at L24 + learntropy-LR (4 exp): M_ij CV = 1.2546
  medical: damage ratio 1378.9x
  code: damage ratio 2097.1x
  legal: damage ratio 1472.2x
  news: damage ratio 1535.2x
  conversational: damage ratio 2077.2x

Done. Saved to results/qwen8b_early_fork_mij.json
