Loading Qwen/Qwen3-8B on cuda:0...
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights:   1%|          | 2/399 [00:00<00:30, 12.95it/s]Loading weights:  11%|█         | 43/399 [00:00<00:01, 202.91it/s]Loading weights:  17%|█▋        | 68/399 [00:00<00:01, 216.38it/s]Loading weights:  32%|███▏      | 126/399 [00:00<00:00, 347.00it/s]Loading weights:  41%|████      | 164/399 [00:00<00:00, 342.56it/s]Loading weights:  50%|█████     | 200/399 [00:00<00:00, 339.12it/s]Loading weights:  63%|██████▎   | 252/399 [00:00<00:00, 388.23it/s]Loading weights:  75%|███████▌  | 301/399 [00:00<00:00, 404.01it/s]Loading weights:  86%|████████▌ | 342/399 [00:01<00:00, 400.28it/s]Loading weights:  98%|█████████▊| 391/399 [00:01<00:00, 424.14it/s]Loading weights: 100%|██████████| 399/399 [00:01<00:00, 358.11it/s]
Loaded in 3s, 16.4GB
Layers: 36, hidden: 4096, inter: 12288
Expert layers: 24-35
Trainable: 3,244,032 params (3.2M)
Loading C4...
Training 25000 steps...
Step 7900/25000 | loss=2.7188 | tau=0.605 | route=[0.49,0.51]
Step 8000/25000 | loss=2.7812 | tau=0.600 | route=[0.51,0.49]
  Eval PPL=11.62 CosSim=0.0556
Step 8100/25000 | loss=2.8438 | tau=0.595 | route=[0.51,0.49]
Step 8200/25000 | loss=3.3281 | tau=0.590 | route=[0.49,0.51]
Step 8300/25000 | loss=2.8281 | tau=0.585 | route=[0.52,0.48]
Step 8400/25000 | loss=2.8125 | tau=0.580 | route=[0.49,0.51]
Step 8500/25000 | loss=3.0938 | tau=0.575 | route=[0.53,0.47]
Step 8600/25000 | loss=2.9062 | tau=0.570 | route=[0.50,0.50]
Step 8700/25000 | loss=3.6250 | tau=0.565 | route=[0.49,0.51]
Step 8800/25000 | loss=3.1875 | tau=0.560 | route=[0.56,0.44]
Step 8900/25000 | loss=2.7188 | tau=0.555 | route=[0.51,0.49]
Step 9000/25000 | loss=2.5938 | tau=0.550 | route=[0.51,0.49]
  Eval PPL=12.00 CosSim=0.0555
Step 9100/25000 | loss=1.8203 | tau=0.545 | route=[0.49,0.51]
Step 9200/25000 | loss=1.9219 | tau=0.540 | route=[0.50,0.50]
Step 9300/25000 | loss=2.4531 | tau=0.535 | route=[0.52,0.48]
Step 9400/25000 | loss=2.8594 | tau=0.530 | route=[0.46,0.54]
Step 9500/25000 | loss=2.4844 | tau=0.525 | route=[0.52,0.48]
Step 9600/25000 | loss=2.1562 | tau=0.520 | route=[0.47,0.53]
Step 9700/25000 | loss=2.8750 | tau=0.515 | route=[0.52,0.48]
Step 9800/25000 | loss=2.4062 | tau=0.510 | route=[0.48,0.52]
Step 9900/25000 | loss=2.6250 | tau=0.505 | route=[0.49,0.51]
Step 10000/25000 | loss=1.5078 | tau=0.500 | route=[0.52,0.48]
  Eval PPL=16.38 CosSim=0.0552
Step 10100/25000 | loss=2.5781 | tau=0.495 | route=[0.50,0.50]
Step 10200/25000 | loss=1.6250 | tau=0.490 | route=[0.50,0.50]
Step 10300/25000 | loss=3.2031 | tau=0.485 | route=[0.49,0.51]
Step 10400/25000 | loss=2.5000 | tau=0.480 | route=[0.47,0.53]
Step 10500/25000 | loss=3.1875 | tau=0.475 | route=[0.47,0.53]
Step 10600/25000 | loss=3.2188 | tau=0.470 | route=[0.54,0.46]
Step 10700/25000 | loss=3.3906 | tau=0.465 | route=[0.47,0.53]
Step 10800/25000 | loss=2.4375 | tau=0.460 | route=[0.51,0.49]
Step 10900/25000 | loss=2.4688 | tau=0.455 | route=[0.53,0.47]
Step 11000/25000 | loss=2.7500 | tau=0.450 | route=[0.52,0.48]
  Eval PPL=9.62 CosSim=0.0550
Step 11100/25000 | loss=3.5312 | tau=0.445 | route=[0.50,0.50]
Step 11200/25000 | loss=1.5781 | tau=0.440 | route=[0.47,0.53]
Step 11300/25000 | loss=2.9375 | tau=0.435 | route=[0.52,0.48]
Step 11400/25000 | loss=2.4219 | tau=0.430 | route=[0.49,0.51]
Step 11500/25000 | loss=2.6250 | tau=0.425 | route=[0.51,0.49]
Step 11600/25000 | loss=2.8125 | tau=0.420 | route=[0.54,0.46]
Step 11700/25000 | loss=1.6719 | tau=0.415 | route=[0.46,0.54]
Step 11800/25000 | loss=2.3750 | tau=0.410 | route=[0.50,0.50]
Step 11900/25000 | loss=3.0000 | tau=0.405 | route=[0.46,0.54]
Step 12000/25000 | loss=2.8906 | tau=0.400 | route=[0.50,0.50]
  Eval PPL=17.12 CosSim=0.0546
Step 12100/25000 | loss=2.5312 | tau=0.395 | route=[0.51,0.49]
Step 12200/25000 | loss=2.6562 | tau=0.390 | route=[0.45,0.55]
Step 12300/25000 | loss=3.1719 | tau=0.385 | route=[0.50,0.50]
Step 12400/25000 | loss=2.4375 | tau=0.380 | route=[0.50,0.50]
Step 12500/25000 | loss=3.1875 | tau=0.375 | route=[0.54,0.46]
Step 12600/25000 | loss=2.7500 | tau=0.370 | route=[0.49,0.51]
Step 12700/25000 | loss=2.6562 | tau=0.365 | route=[0.56,0.44]
Step 12800/25000 | loss=2.2344 | tau=0.360 | route=[0.47,0.53]
Step 12900/25000 | loss=2.9062 | tau=0.355 | route=[0.52,0.48]
Step 13000/25000 | loss=3.3438 | tau=0.350 | route=[0.48,0.52]
  Eval PPL=18.00 CosSim=0.0543
Step 13100/25000 | loss=2.7500 | tau=0.345 | route=[0.46,0.54]
Step 13200/25000 | loss=3.3125 | tau=0.340 | route=[0.52,0.48]
Step 13300/25000 | loss=4.1250 | tau=0.335 | route=[0.56,0.44]
Step 13400/25000 | loss=3.0938 | tau=0.330 | route=[0.49,0.51]
Step 13500/25000 | loss=2.8438 | tau=0.325 | route=[0.49,0.51]
Step 13600/25000 | loss=3.0000 | tau=0.320 | route=[0.50,0.50]
Step 13700/25000 | loss=1.9922 | tau=0.315 | route=[0.50,0.50]
Step 13800/25000 | loss=2.8125 | tau=0.310 | route=[0.50,0.50]
Step 13900/25000 | loss=2.6406 | tau=0.305 | route=[0.52,0.48]
Step 14000/25000 | loss=2.4375 | tau=0.300 | route=[0.52,0.48]
  Eval PPL=13.81 CosSim=0.0540
Step 14100/25000 | loss=2.9375 | tau=0.295 | route=[0.52,0.48]
Step 14200/25000 | loss=3.1250 | tau=0.290 | route=[0.44,0.56]
Step 14300/25000 | loss=2.7031 | tau=0.285 | route=[0.48,0.52]
Step 14400/25000 | loss=2.4531 | tau=0.280 | route=[0.51,0.49]
Step 14500/25000 | loss=2.4219 | tau=0.275 | route=[0.57,0.43]
Step 14600/25000 | loss=2.2500 | tau=0.270 | route=[0.50,0.50]
Step 14700/25000 | loss=2.8906 | tau=0.265 | route=[0.46,0.54]
Step 14800/25000 | loss=2.1250 | tau=0.260 | route=[0.50,0.50]
Step 14900/25000 | loss=3.2188 | tau=0.255 | route=[0.48,0.52]
